subject_id	specimen	abbreviation	full_name	parent	type_of_match	existing_cl_id	rank	cl_id	cl_label	score	hint_bonus	matched	contradictions	gaps	disqualified	note
SOULCAP:SC000005		NK3	Natural Killer Cell 3	CTNK	TF ONLY		1	CL:0000939	CD16-positive, CD56-dim natural killer cell, human	23	3	CD14- (1 of 3 alt.), CD3-, CD19-, CD56+ (dim), CD16+		CD34-, CD45+, CD127-, CD57+, HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD15-/CD66B- (no axiom on any alt.), CD123-	no	
SOULCAP:SC000005		NK3	Natural Killer Cell 3	CTNK	TF ONLY		2	CL:0002338	CD56-positive, CD161-positive immature natural killer cell, human	23	3	CD14- (1 of 3 alt.), CD34-, CD3-, CD19-, CD56+		CD45+, CD127-, CD16+, CD57+, HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD15-/CD66B- (no axiom on any alt.), CD123-	no	
SOULCAP:SC000005		NK3	Natural Killer Cell 3	CTNK	TF ONLY		3	CL:0001073	CD34-negative, CD56-positive, CD117-positive innate lymphoid cell, human	17	1	CD34-, CD3-, CD19-, CD56+		CD14-/CD33-/CD64- (no axiom on any alt.), CD45+, CD127-, CD16+, CD57+, HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD15-/CD66B- (no axiom on any alt.), CD123-	no	
SOULCAP:SC000006		ILCp	Innate Lymphoid Cell Progenitor		Surface Only (SO)		1	CL:0001073	CD34-negative, CD56-positive, CD117-positive innate lymphoid cell, human	15	3	CD3-, CD56+, CD117+		CD45+, CD127+, CD294-	no	
SOULCAP:SC000006		ILCp	Innate Lymphoid Cell Progenitor		Surface Only (SO)		2	CL:0001076	NKp46-positive innate lymphoid cell, human	15	3	CD3-, CD56+, CD117+		CD45+, CD127+, CD294-	no	
SOULCAP:SC000006		ILCp	Innate Lymphoid Cell Progenitor		Surface Only (SO)		3	CL:0001074	CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human	14	2	CD3-, CD56+, CD117+		CD45+, CD127+, CD294-	no	
SOULCAP:SC000007		ILC	Innate Lymphoid Cell		Surface Only (SO)		1	CL:0000989	CD11c-low plasmacytoid dendritic cell	23	1	CD34-, CD3-, CD19-, CD45+, CD3-, CD11C:not:high (dim) (1 of 2 alt.)		CD14-/CD33-/CD64- (no axiom on any alt.), CD127+, CD15-/CD66B- (no axiom on any alt.), CD123-	no	
SOULCAP:SC000007		ILC	Innate Lymphoid Cell		Surface Only (SO)		2	CL:0000992	immature CD11c-low plasmacytoid dendritic cell	23	1	CD34-, CD3-, CD19-, CD45+, CD3-, CD11C:not:high (dim) (1 of 2 alt.)		CD14-/CD33-/CD64- (no axiom on any alt.), CD127+, CD15-/CD66B- (no axiom on any alt.), CD123-	no	
SOULCAP:SC000007		ILC	Innate Lymphoid Cell		Surface Only (SO)		3	CL:0000993	mature CD11c-low plasmacytoid dendritic cell	23	1	CD34-, CD3-, CD19-, CD45+, CD3-, CD11C:not:high (dim) (1 of 2 alt.)		CD14-/CD33-/CD64- (no axiom on any alt.), CD127+, CD15-/CD66B- (no axiom on any alt.), CD123-	no	
SOULCAP:SC000008		ILC1	Innate Lymphoid Cell 1	ILC	Surface Only (SO)		1	CL:0000989	CD11c-low plasmacytoid dendritic cell	27	1	CD34-, CD3-, CD19-, CD45+, CD3-, CD56-, CD11C:not:high (dim) (1 of 2 alt.)		CD14-/CD33-/CD64- (no axiom on any alt.), CD127+, CD117-, CD294-, CD15-/CD66B- (no axiom on any alt.), CD123-	no	
SOULCAP:SC000008		ILC1	Innate Lymphoid Cell 1	ILC	Surface Only (SO)		2	CL:0000992	immature CD11c-low plasmacytoid dendritic cell	27	1	CD34-, CD3-, CD19-, CD45+, CD3-, CD56-, CD11C:not:high (dim) (1 of 2 alt.)		CD14-/CD33-/CD64- (no axiom on any alt.), CD127+, CD117-, CD294-, CD15-/CD66B- (no axiom on any alt.), CD123-	no	
SOULCAP:SC000008		ILC1	Innate Lymphoid Cell 1	ILC	Surface Only (SO)		3	CL:0000993	mature CD11c-low plasmacytoid dendritic cell	27	1	CD34-, CD3-, CD19-, CD45+, CD3-, CD56-, CD11C:not:high (dim) (1 of 2 alt.)		CD14-/CD33-/CD64- (no axiom on any alt.), CD127+, CD117-, CD294-, CD15-/CD66B- (no axiom on any alt.), CD123-	no	
SOULCAP:SC000009		ILC2	Innate Lymphoid Cell 2	ILC	Surface Only (SO)		1	CL:0002029	Fc-epsilon RIalpha-low mast cell progenitor	29	1	CD14- (1 of 3 alt.), CD3-, CD19-, CD45+, CD3-, CD56-, CD117:low (dim) (1 of 2 alt.)		CD34-, CD127+, CD294+, HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD15-/CD66B- (no axiom on any alt.), CD123-	no	
SOULCAP:SC000009		ILC2	Innate Lymphoid Cell 2	ILC	Surface Only (SO)		2	CL:0000989	CD11c-low plasmacytoid dendritic cell	27	1	CD34-, CD3-, CD19-, CD45+, CD3-, CD56-, CD11C:not:high (dim) (1 of 2 alt.)		CD14-/CD33-/CD64- (no axiom on any alt.), CD127+, CD117:low/CD117- (no axiom on any alt.), CD294+, CD15-/CD66B- (no axiom on any alt.), CD123-	no	
SOULCAP:SC000009		ILC2	Innate Lymphoid Cell 2	ILC	Surface Only (SO)		3	CL:0000992	immature CD11c-low plasmacytoid dendritic cell	27	1	CD34-, CD3-, CD19-, CD45+, CD3-, CD56-, CD11C:not:high (dim) (1 of 2 alt.)		CD14-/CD33-/CD64- (no axiom on any alt.), CD127+, CD117:low/CD117- (no axiom on any alt.), CD294+, CD15-/CD66B- (no axiom on any alt.), CD123-	no	
SOULCAP:SC000010		ILC3	Innate Lymphoid Cell 3	ILC	Surface Only (SO)		1	CL:0002029	Fc-epsilon RIalpha-low mast cell progenitor	29	1	CD14- (1 of 3 alt.), CD3-, CD19-, CD45+, CD3-, CD56- (1 of 2 alt.), CD117+ (dim)		CD34-, CD127+, CD294-, HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD15-/CD66B- (no axiom on any alt.), CD123-	no	
SOULCAP:SC000010		ILC3	Innate Lymphoid Cell 3	ILC	Surface Only (SO)		2	CL:0002344	CD56-negative, CD161-positive immature natural killer cell, human	29	1	CD14- (1 of 3 alt.), CD34-, CD3-, CD19-, CD3-, CD56- (1 of 2 alt.), CD117+		CD45+, CD127+, CD294-, HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD15-/CD66B- (no axiom on any alt.), CD123-	no	
SOULCAP:SC000010		ILC3	Innate Lymphoid Cell 3	ILC	Surface Only (SO)		3	CL:0000989	CD11c-low plasmacytoid dendritic cell	27	1	CD34-, CD3-, CD19-, CD45+, CD3-, CD56- (1 of 2 alt.), CD11C:not:high (dim) (1 of 2 alt.)		CD14-/CD33-/CD64- (no axiom on any alt.), CD127+, CD117+, CD294-, CD15-/CD66B- (no axiom on any alt.), CD123-	no	
SOULCAP:SC000011		cDC	Conventional Dendritic Cell		Exact		1	CL:0001057	myeloid dendritic cell, human	24	2	CD123:not:high (1 of 2 alt.), CD123:not:high (1 of 2 alt.), CD14-, CD11C:high (hi), CD3-, CD19-, CD56-		CD16-, CD45+, CD33:high/CD64+ (no axiom on any alt.), HLA-DR+, CD127-	no	
SOULCAP:SC000011		cDC	Conventional Dendritic Cell		Exact		2	CL:0002000	Kit-positive erythroid progenitor cell	21	1	CD123:not:high (1 of 2 alt.), CD123:not:high (1 of 2 alt.), CD14-, CD3-, CD19-, CD56-, CD127-		CD16-, CD45+, CD33:high/CD64+ (no axiom on any alt.), CD11C:high, HLA-DR+	no	
SOULCAP:SC000011		cDC	Conventional Dendritic Cell		Exact		3	CL:0000782	myeloid dendritic cell	20	2	CD123:not:high (1 of 2 alt.), CD123:not:high (1 of 2 alt.), CD11C:high (hi), CD3-, CD19-, CD56-		CD14-, CD16-, CD45+, CD33:high/CD64+ (no axiom on any alt.), HLA-DR+, CD127-	no	
SOULCAP:SC000012		cDC1	Conventional Dendritic Cell 1	DCM	Exact		1	CL:0001057	myeloid dendritic cell, human	24	2	CD123:not:high (1 of 2 alt.), CD123:not:high (1 of 2 alt.), CD14-, CD11C:high (hi), CD3-, CD19-, CD56-		CD16-, CD45+, CD33:high/CD64+ (no axiom on any alt.), HLA-DR+, CD1C-, CD141+, CD127-, CD172A-, FCER1A-	no	
SOULCAP:SC000012		cDC1	Conventional Dendritic Cell 1	DCM	Exact		2	CL:0002394	CD141-positive myeloid dendritic cell	24	2	CD123:not:high (1 of 2 alt.), CD123:not:high (1 of 2 alt.), CD11C:high (hi), CD141+, CD3-, CD19-, CD56-		CD14-, CD16-, CD45+, CD33:high/CD64+ (no axiom on any alt.), HLA-DR+, CD1C-, CD127-, CD172A-, FCER1A-	no	
SOULCAP:SC000012		cDC1	Conventional Dendritic Cell 1	DCM	Exact		3	CL:0002000	Kit-positive erythroid progenitor cell	21	1	CD123:not:high (1 of 2 alt.), CD123:not:high (1 of 2 alt.), CD14-, CD3-, CD19-, CD56-, CD127-		CD16-, CD45+, CD33:high/CD64+ (no axiom on any alt.), CD11C:high, HLA-DR+, CD1C-, CD141+, CD172A-, FCER1A-	no	
SOULCAP:SC000013		cDC2	Conventional Dendritic Cell 2	DCM	Exact		1	CL:0001057	myeloid dendritic cell, human	24	2	CD123:not:high (1 of 2 alt.), CD123:not:high (1 of 2 alt.), CD14-, CD11C:high (hi), CD3-, CD19-, CD56-		CD16-, CD45+, CD33:high/CD64+ (no axiom on any alt.), HLA-DR+, CD1C+, CD141:low/CD141- (no axiom on any alt.), CD127-, CD172A+, FCER1A:low/FCER1A- (no axiom on any alt.)	no	
SOULCAP:SC000013		cDC2	Conventional Dendritic Cell 2	DCM	Exact		2	CL:0002399	CD1c-positive myeloid dendritic cell	24	2	CD123:not:high (1 of 2 alt.), CD123:not:high (1 of 2 alt.), CD11C:high (hi), CD1C+, CD3-, CD19-, CD56-		CD14-, CD16-, CD45+, CD33:high/CD64+ (no axiom on any alt.), HLA-DR+, CD141:low/CD141- (no axiom on any alt.), CD127-, CD172A+, FCER1A:low/FCER1A- (no axiom on any alt.)	no	
SOULCAP:SC000013		cDC2	Conventional Dendritic Cell 2	DCM	Exact		3	CL:0002000	Kit-positive erythroid progenitor cell	21	1	CD123:not:high (1 of 2 alt.), CD123:not:high (1 of 2 alt.), CD14-, CD3-, CD19-, CD56-, CD127-		CD16-, CD45+, CD33:high/CD64+ (no axiom on any alt.), CD11C:high, HLA-DR+, CD1C+, CD141:low/CD141- (no axiom on any alt.), CD172A+, FCER1A:low/FCER1A- (no axiom on any alt.)	no	
SOULCAP:SC000014	PBMC	pDC	Peripheral Dendritic Cell		Exact		1	CL:0000991	CD11c-negative plasmacytoid dendritic cell	18	2	CD3-, CD45+, CD303+ (1 of 3 alt.), CD56-, CD19-		CD33:low/CD33+/CD123:high (no axiom on any alt.), CD127-, CD15-/CD66B- (no axiom on any alt.), CD14-, CD16-	no	
SOULCAP:SC000014	PBMC	pDC	Peripheral Dendritic Cell		Exact		2	CL:0000994	immature CD11c-negative plasmacytoid dendritic cell	18	2	CD3-, CD45+, CD303+ (1 of 3 alt.), CD56-, CD19-		CD33:low/CD33+/CD123:high (no axiom on any alt.), CD127-, CD15-/CD66B- (no axiom on any alt.), CD14-, CD16-	no	
SOULCAP:SC000014	PBMC	pDC	Peripheral Dendritic Cell		Exact		3	CL:0000996	mature CD11c-negative plasmacytoid dendritic cell	18	2	CD3-, CD45+, CD303+ (1 of 3 alt.), CD56-, CD19-		CD33:low/CD33+/CD123:high (no axiom on any alt.), CD127-, CD15-/CD66B- (no axiom on any alt.), CD14-, CD16-	no	
SOULCAP:SC000015	PBMC	Basophil	Basophil		Exact		1	CL:0000614	basophilic myelocyte	18	1	CD3-, CD33+ (1 of 2 alt.), CD193+ (hi) (1 of 4 alt.), CD56-, CD19-, CD16-	CD15-/CD66B- (all alt. conflict)	CD45+, CD127-, CD14-, FCER1A+, HLA-DR-	no	
SOULCAP:SC000015	PBMC	Basophil	Basophil		Exact		2	CL:0002008	CD34-positive, CD38-positive eosinophil progenitor cell	18	0	CD3-, CD45+, CD123+ (1 of 2 alt.), CD56-, CD19-, CD14-		CD193+/FCER1A+/HLA-DR-/CD303- (no axiom on any alt.), CD127-, CD15-/CD66B- (no axiom on any alt.), CD16-, FCER1A+, HLA-DR-	no	
SOULCAP:SC000015	PBMC	Basophil	Basophil		Exact		3	CL:0000043	mature basophil	17	1	CD3-, CD123+ (hi) (1 of 2 alt.), CD193+ (hi) (1 of 4 alt.), CD56-, CD19-		CD45+, CD127-, CD15-/CD66B- (no axiom on any alt.), CD14-, CD16-, FCER1A+, HLA-DR-	no	
SOULCAP:SC000016	WB	Basophil	Basophil		Exact		1	CL:0000043	mature basophil	17	1	CD3-, CD193+ (hi), CD123+ (hi), CD56-, CD19-		CD15-/CD66B- (no axiom on any alt.), CD45+, CD127-	no	
SOULCAP:SC000016	WB	Basophil	Basophil		Exact		2	CL:0000767	basophil	17	1	CD3-, CD193+ (hi), CD123+ (hi), CD56-, CD19-		CD15-/CD66B- (no axiom on any alt.), CD45+, CD127-	no	
SOULCAP:SC000016	WB	Basophil	Basophil		Exact		3	CL:0000768	immature basophil	17	1	CD3-, CD193+ (hi), CD123+ (hi), CD56-, CD19-		CD15-/CD66B- (no axiom on any alt.), CD45+, CD127-	no	
SOULCAP:SC000017	WB and PBMC	Mono	Monocyte		Exact	CL:0000576										invalid expression in Required exclusion: unexpected ')' in group
SOULCAP:SC000018	WB and PBMC	CMo	Classical Monocyte	Mono	Exact	CL:0000860										invalid expression in Required exclusion: unexpected ')' in group
SOULCAP:SC000019	WB and PBMC	NCMo	Non-classical Monocyte	Mono	Exact	CL:0000875										invalid expression in Required exclusion: unexpected ')' in group
SOULCAP:SC000020	WB and PBMC	IntMo	Intermediate Monocyte	Mono	Exact	CL:0002393										invalid expression in Required exclusion: unexpected ')' in group
SOULCAP:SC000021	WB and PBMC	Neut	Neutrophil		Exact		1	CL:0000582	neutrophilic metamyelocyte	18	2	CD3-, CD56-, CD66B+ (1 of 2 alt.), CD19-, CD33+ (1 of 2 alt.)		CD14:low/CD14- (no axiom on any alt.), CD123-, CD45+, CD193-, CD16:high, HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.)	no	
SOULCAP:SC000021	WB and PBMC	Neut	Neutrophil		Exact		2	CL:0001021	CD34-positive, CD38-positive common lymphoid progenitor	18	0	CD3-, CD56-, CD14- (1 of 2 alt.), CD45+, CD19-		CD123-, CD15:high/CD66B+ (no axiom on any alt.), CD193-, CD16:high, HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD64-/CD33+ (no axiom on any alt.)	no	
SOULCAP:SC000021	WB and PBMC	Neut	Neutrophil		Exact		3	CL:0001057	myeloid dendritic cell, human	18	0	CD3-, CD56-, CD14- (1 of 2 alt.), CD123-, CD19-		CD45+, CD15:high/CD66B+ (no axiom on any alt.), CD193-, CD16:high, HLA-DR:not:positive/CD11C:not:high (hi) (no axiom on any alt.), CD64-/CD33+ (no axiom on any alt.)	no	
SOULCAP:SC000022	WB	Eos	Eosinophil		Exact		1	CL:0000612	eosinophilic myelocyte	26	2	CD3-, CD56-, CD66B+ (1 of 2 alt.), CD193+, CD16-, CD19-, CD33+ (1 of 2 alt.)		CD14:low/CD14- (no axiom on any alt.), CD123-, CD45+, HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.)	no	
SOULCAP:SC000022	WB	Eos	Eosinophil		Exact		2	CL:0000041	mature eosinophil	20	2	CD3-, CD56-, CD66B+ (1 of 2 alt.), CD193+, CD19-		CD14:low/CD14- (no axiom on any alt.), CD123-, CD45+, CD16-, HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD64-/CD33+ (no axiom on any alt.)	no	
SOULCAP:SC000022	WB	Eos	Eosinophil		Exact		3	CL:0000580	neutrophilic myelocyte	20	0	CD3-, CD56-, CD66B+ (1 of 2 alt.), CD16-, CD19-, CD33+ (1 of 2 alt.)		CD14:low/CD14- (no axiom on any alt.), CD123-, CD45+, CD193+, HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.)	no	
SOULCAP:SC000023		B cell	B cell		Exact		1	CL:0000819	B-1 B cell	15	1	CD3-, CD45+, CD20+ (1 of 2 alt.), CD20+		CD14-/CD33-/CD64- (no axiom on any alt.), CD56-, CD127-, CD16-, CD15-/CD66B- (no axiom on any alt.), HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD123-	no	
SOULCAP:SC000023		B cell	B cell		Exact		2	CL:0000820	B-1a B cell	15	1	CD3-, CD45+, CD20+ (1 of 2 alt.), CD20+		CD14-/CD33-/CD64- (no axiom on any alt.), CD56-, CD127-, CD16-, CD15-/CD66B- (no axiom on any alt.), HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD123-	no	
SOULCAP:SC000023		B cell	B cell		Exact		3	CL:0000821	B-1b B cell	15	1	CD3-, CD45+, CD20+ (1 of 2 alt.), CD20+		CD14-/CD33-/CD64- (no axiom on any alt.), CD56-, CD127-, CD16-, CD15-/CD66B- (no axiom on any alt.), HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD123-	no	
SOULCAP:SC000024		ASC	Antibody Secreting Cell		Surface Only (SO)		1	CL:0000949	IgD plasmablast	18	0	CD3-, CD19+, CD27+ (hi) (1 of 2 alt.), CD38:high (hi), CD20- (1 of 2 alt.)		CD14-/CD33-/CD64- (no axiom on any alt.), CD56-, CD45+, CD127-, CD16-, CD15-/CD66B- (no axiom on any alt.), HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD123-	no	
SOULCAP:SC000024		ASC	Antibody Secreting Cell		Surface Only (SO)		2	CL:0000950	IgE plasmablast	18	0	CD3-, CD19+, CD27+ (hi) (1 of 2 alt.), CD38:high (hi), CD20- (1 of 2 alt.)		CD14-/CD33-/CD64- (no axiom on any alt.), CD56-, CD45+, CD127-, CD16-, CD15-/CD66B- (no axiom on any alt.), HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD123-	no	
SOULCAP:SC000024		ASC	Antibody Secreting Cell		Surface Only (SO)		3	CL:0000980	plasmablast	18	0	CD3-, CD19+, CD27+ (hi) (1 of 2 alt.), CD38:high (hi), CD20- (1 of 2 alt.)		CD14-/CD33-/CD64- (no axiom on any alt.), CD56-, CD45+, CD127-, CD16-, CD15-/CD66B- (no axiom on any alt.), HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD123-	no	
SOULCAP:SC000025		PB	Plasmablast	ASC	Surface Only (SO)		1	CL:0000949	IgD plasmablast	23	1	CD3-, CD19+, CD27+ (hi) (1 of 2 alt.), CD38:high (hi), CD138-, CD20- (1 of 2 alt.)		CD14-/CD33-/CD64- (no axiom on any alt.), CD56-, CD45+, CD127-, CD16-, CD15-/CD66B- (no axiom on any alt.), HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD123-	no	
SOULCAP:SC000025		PB	Plasmablast	ASC	Surface Only (SO)		2	CL:0000950	IgE plasmablast	23	1	CD3-, CD19+, CD27+ (hi) (1 of 2 alt.), CD38:high (hi), CD138-, CD20- (1 of 2 alt.)		CD14-/CD33-/CD64- (no axiom on any alt.), CD56-, CD45+, CD127-, CD16-, CD15-/CD66B- (no axiom on any alt.), HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD123-	no	
SOULCAP:SC000025		PB	Plasmablast	ASC	Surface Only (SO)		3	CL:0000980	plasmablast	23	1	CD3-, CD19+, CD27+ (hi) (1 of 2 alt.), CD38:high (hi), CD138-, CD20- (1 of 2 alt.)		CD14-/CD33-/CD64- (no axiom on any alt.), CD56-, CD45+, CD127-, CD16-, CD15-/CD66B- (no axiom on any alt.), HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD123-	no	
SOULCAP:SC000026		PC	Plasma Cell	ASC	Surface Only (SO)		1	CL:0002047	fraction B precursor B cell	13	1	CD3-, CD45+, CD19+		CD14-/CD33-/CD64- (no axiom on any alt.), CD56-, CD27+/CD27:high (no axiom on any alt.), CD38:high, CD138+, CD127-, CD16-, CD15-/CD66B- (no axiom on any alt.), HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD123-, CD20-	no	
SOULCAP:SC000026		PC	Plasma Cell	ASC	Surface Only (SO)		2	CL:0002049	fraction C precursor B cell	13	1	CD3-, CD45+, CD19+		CD14-/CD33-/CD64- (no axiom on any alt.), CD56-, CD27+/CD27:high (no axiom on any alt.), CD38:high, CD138+, CD127-, CD16-, CD15-/CD66B- (no axiom on any alt.), HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD123-, CD20-	no	
SOULCAP:SC000026		PC	Plasma Cell	ASC	Surface Only (SO)		3	CL:0002050	fraction C' precursor B cell	13	1	CD3-, CD45+, CD19+		CD14-/CD33-/CD64- (no axiom on any alt.), CD56-, CD27+/CD27:high (no axiom on any alt.), CD38:high, CD138+, CD127-, CD16-, CD15-/CD66B- (no axiom on any alt.), HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD123-, CD20-	no	
SOULCAP:SC000027		Transitional	Transitional B cell		Exact											no qualified markers found
SOULCAP:SC000028		T1/T2 B	Transitonal B cell 1 and 2				1	CL:0000818	transitional stage B cell	19	1	CD3-, CD20+ (1 of 2 alt.), CD38:high (hi) (1 of 2 alt.), CD24:high (hi), CD20+		CD14-/CD33-/CD64- (no axiom on any alt.), CD56-, CD45+, CD27-, CD127-, CD16-, CD15-/CD66B- (no axiom on any alt.), HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD123-	no	
SOULCAP:SC000028		T1/T2 B	Transitonal B cell 1 and 2				2	CL:0000958	T1 B cell	19	1	CD3-, CD20+ (1 of 2 alt.), CD38:high (hi) (1 of 2 alt.), CD24:high (hi), CD20+		CD14-/CD33-/CD64- (no axiom on any alt.), CD56-, CD45+, CD27-, CD127-, CD16-, CD15-/CD66B- (no axiom on any alt.), HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD123-	no	
SOULCAP:SC000028		T1/T2 B	Transitonal B cell 1 and 2				3	CL:0000959	T2 B cell	19	1	CD3-, CD20+ (1 of 2 alt.), CD38:high (hi) (1 of 2 alt.), CD24:high (hi), CD20+		CD14-/CD33-/CD64- (no axiom on any alt.), CD56-, CD45+, CD27-, CD127-, CD16-, CD15-/CD66B- (no axiom on any alt.), HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD123-	no	
