cl_id	cl_label	pr_id	pr_label	cd_synonym	species_support	evidence_source	citation	quote	source_ref
CL:0000786	plasma cell	PR:000001289	membrane-spanning 4-domains subfamily A member 1	CD20 (exact)	human	m2_literature_report	Griffin DO & Rothstein TL 2012 (PMID: 22654880; DOI: 10.3389/fimmu.2012.00122)	as B cells differentiate to become plasmablasts and plasma cells, CD20 is lost but CD19 remains, as CD38/CD138 is acquired	reports/literature/b_cell_markers.md
CL:0000786	plasma cell	PR:000001935	syndecan-1	CD138 (exact)	human	m2_literature_report	Griffin DO & Rothstein TL 2012 (PMID: 22654880; DOI: 10.3389/fimmu.2012.00122)	as B cells differentiate to become plasmablasts and plasma cells, CD20 is lost but CD19 remains, as CD38/CD138 is acquired	reports/literature/b_cell_markers.md
CL:0000787	memory B cell	PR:000001935	syndecan-1	CD138 (exact)	human	m2_literature_report	Griffin DO & Rothstein TL 2012 (PMID: 22654880; DOI: 10.3389/fimmu.2012.00122) -- describes the plasmablast/plasma-cell transition boundary, not memory B cells directly, but confirms CD138 as a human B-lineage differentiation marker	as B cells differentiate to become plasmablasts and plasma cells, CD20 is lost but CD19 remains, as CD38/CD138 is acquired	reports/literature/b_cell_markers.md
CL:0000787	memory B cell	PR:000001289	membrane-spanning 4-domains subfamily A member 1	CD20 (exact)	human	m2_literature_report	Griffin DO & Rothstein TL 2012 (PMID: 22654880; DOI: 10.3389/fimmu.2012.00122)	Mature B cells typically express both CD19 and CD20.	reports/literature/b_cell_markers.md
CL:0000788	naive B cell	PR:000001963	CD27 molecule	CD27 (label); CD27L (exact)	human	m2_literature_report	Woodruff MC et al. 2020 (PMID: 33028979; DOI: 10.1038/s41590-020-00814-z)	"""**N**: CD19+ CD27− CD38− CD24− IgD+"" [naive B cell gating entry, Table 1]"	reports/literature/b_cell_markers.md
CL:0000788	naive B cell	PR:000001289	membrane-spanning 4-domains subfamily A member 1	CD20 (exact)	human	m2_literature_report	Griffin DO & Rothstein TL 2012 (PMID: 22654880; DOI: 10.3389/fimmu.2012.00122)	Mature B cells typically express both CD19 and CD20.	reports/literature/b_cell_markers.md
CL:0000803	CD4-negative CD8-negative gamma-delta intraepithelial T cell	PR:000001004	CD4 molecule	CD4 (label)	human	m2_literature_report	Kelm M et al. 2026 (PMID: 41727470; DOI: 10.3389/fimmu.2026.1739493; PMC: PMC12920462)	Purity of PHA- and Zole- expanded αβ and γδ T-cell cultures and MACS-isolated T-cell populations were assessed by flow cytometry using anti-CD3, CD4, CD8, γδ TCR, and αβ TCR monoclonal antibodies.	reports/literature/t_cell_markers.md
CL:0000803	CD4-negative CD8-negative gamma-delta intraepithelial T cell	PR:000001084	T-cell surface glycoprotein CD8 alpha chain	CD8 (label); CD8A (exact); CD8a (exact)	human	m2_literature_report	Kelm M et al. 2026 (PMID: 41727470; DOI: 10.3389/fimmu.2026.1739493; PMC: PMC12920462)	Purity of PHA- and Zole- expanded αβ and γδ T-cell cultures and MACS-isolated T-cell populations were assessed by flow cytometry using anti-CD3, CD4, CD8, γδ TCR, and αβ TCR monoclonal antibodies.	reports/literature/t_cell_markers.md
CL:0000814	mature NK T cell	PR:000001874	KLRB1-like protein		human	m2_literature_report	Lal KG et al. 2018 (PMID:29533501; DOI:10.1002/cyto.a.23357)	we defined iNKT cell subsets by the co-expression of TCR Vα24 and Vβ11 among CD3+ cells, and further through their expression of CD4 and CD161	reports/literature/inkt_markers.md
CL:0000818	transitional stage B cell	PR:000001408	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1	CD38 (exact)	human	m2_literature_report	Martin VG et al. 2016 (PMID: 27994589; DOI: 10.3389/fimmu.2016.00546)	T1 (CD38+++CD24hiCD10++IgDlo/−), T2 (CD38++CD24hiCD10+IgD+), and T3 (CD38+CD24+IgD+ABCB1−)	reports/literature/b_cell_markers.md
CL:0000818	transitional stage B cell	PR:000001932	signal transducer CD24	CD24 (label); CD24A (related)	human	m2_literature_report	Martin VG et al. 2016 (PMID: 27994589; DOI: 10.3389/fimmu.2016.00546)	T1 (CD38+++CD24hiCD10++IgDlo/−), T2 (CD38++CD24hiCD10+IgD+), and T3 (CD38+CD24+IgD+ABCB1−)	reports/literature/b_cell_markers.md
CL:0000818	transitional stage B cell	PR:000001289	membrane-spanning 4-domains subfamily A member 1	CD20 (exact)	insufficient_evidence	none			CD20 positivity on transitional B cells is not stated verbatim in reports/literature/b_cell_markers.md -- the report only confirms CD20 on 'mature B cells' generally (Griffin & Rothstein 2012), not the transitional stage specifically.
CL:0000860	classical monocyte	PR:000001199	C-C chemokine receptor type 2	CD192 (exact)	insufficient_evidence	none			No verbatim sentence naming this marker on monocytes was found. The canonical human/mouse monocyte nomenclature paper this repo already cites for issue #12 (Ziegler-Heitbrock L et al. 2010, PMID:20628149, DOI:10.1182/blood-2010-02-258558) explicitly covers both species at the classification-scheme level ('defines 3 types of monocytes ... in human and in mouse blood') but its abstract does not name this marker specifically; full text would be needed to confirm. Targeted EuropePMC searches for this marker in a monocyte context returned only tangential recent disease-cohort papers, not clean definitional statements.
CL:0000860	classical monocyte	PR:000001002	CD19 molecule	CD19 (label)	insufficient_evidence	none			No verbatim sentence naming this marker on monocytes was found. The canonical human/mouse monocyte nomenclature paper this repo already cites for issue #12 (Ziegler-Heitbrock L et al. 2010, PMID:20628149, DOI:10.1182/blood-2010-02-258558) explicitly covers both species at the classification-scheme level ('defines 3 types of monocytes ... in human and in mouse blood') but its abstract does not name this marker specifically; full text would be needed to confirm. Targeted EuropePMC searches for this marker in a monocyte context returned only tangential recent disease-cohort papers, not clean definitional statements.
CL:0000860	classical monocyte	PR:000001020	CD3 epsilon	CD3 (label); CD3E (exact); CD3e (exact)	insufficient_evidence	none			No verbatim sentence naming this marker on monocytes was found. The canonical human/mouse monocyte nomenclature paper this repo already cites for issue #12 (Ziegler-Heitbrock L et al. 2010, PMID:20628149, DOI:10.1182/blood-2010-02-258558) explicitly covers both species at the classification-scheme level ('defines 3 types of monocytes ... in human and in mouse blood') but its abstract does not name this marker specifically; full text would be needed to confirm. Targeted EuropePMC searches for this marker in a monocyte context returned only tangential recent disease-cohort papers, not clean definitional statements.
CL:0000860	classical monocyte	PR:000001289	membrane-spanning 4-domains subfamily A member 1	CD20 (exact)	insufficient_evidence	none			No verbatim sentence naming this marker on monocytes was found. The canonical human/mouse monocyte nomenclature paper this repo already cites for issue #12 (Ziegler-Heitbrock L et al. 2010, PMID:20628149, DOI:10.1182/blood-2010-02-258558) explicitly covers both species at the classification-scheme level ('defines 3 types of monocytes ... in human and in mouse blood') but its abstract does not name this marker specifically; full text would be needed to confirm. Targeted EuropePMC searches for this marker in a monocyte context returned only tangential recent disease-cohort papers, not clean definitional statements.
CL:0000875	non-classical monocyte	PR:000001206	CX3C chemokine receptor 1		insufficient_evidence	none			No verbatim sentence naming this marker on monocytes was found. The canonical human/mouse monocyte nomenclature paper this repo already cites for issue #12 (Ziegler-Heitbrock L et al. 2010, PMID:20628149, DOI:10.1182/blood-2010-02-258558) explicitly covers both species at the classification-scheme level ('defines 3 types of monocytes ... in human and in mouse blood') but its abstract does not name this marker specifically; full text would be needed to confirm. Targeted EuropePMC searches for this marker in a monocyte context returned only tangential recent disease-cohort papers, not clean definitional statements.
CL:0000875	non-classical monocyte	PR:000001002	CD19 molecule	CD19 (label)	insufficient_evidence	none			No verbatim sentence naming this marker on monocytes was found. The canonical human/mouse monocyte nomenclature paper this repo already cites for issue #12 (Ziegler-Heitbrock L et al. 2010, PMID:20628149, DOI:10.1182/blood-2010-02-258558) explicitly covers both species at the classification-scheme level ('defines 3 types of monocytes ... in human and in mouse blood') but its abstract does not name this marker specifically; full text would be needed to confirm. Targeted EuropePMC searches for this marker in a monocyte context returned only tangential recent disease-cohort papers, not clean definitional statements.
CL:0000875	non-classical monocyte	PR:000001020	CD3 epsilon	CD3 (label); CD3E (exact); CD3e (exact)	insufficient_evidence	none			No verbatim sentence naming this marker on monocytes was found. The canonical human/mouse monocyte nomenclature paper this repo already cites for issue #12 (Ziegler-Heitbrock L et al. 2010, PMID:20628149, DOI:10.1182/blood-2010-02-258558) explicitly covers both species at the classification-scheme level ('defines 3 types of monocytes ... in human and in mouse blood') but its abstract does not name this marker specifically; full text would be needed to confirm. Targeted EuropePMC searches for this marker in a monocyte context returned only tangential recent disease-cohort papers, not clean definitional statements.
CL:0000875	non-classical monocyte	PR:000001289	membrane-spanning 4-domains subfamily A member 1	CD20 (exact)	insufficient_evidence	none			No verbatim sentence naming this marker on monocytes was found. The canonical human/mouse monocyte nomenclature paper this repo already cites for issue #12 (Ziegler-Heitbrock L et al. 2010, PMID:20628149, DOI:10.1182/blood-2010-02-258558) explicitly covers both species at the classification-scheme level ('defines 3 types of monocytes ... in human and in mouse blood') but its abstract does not name this marker specifically; full text would be needed to confirm. Targeted EuropePMC searches for this marker in a monocyte context returned only tangential recent disease-cohort papers, not clean definitional statements.
CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	PR:000001380	interleukin-2 receptor subunit alpha	CD25 (exact)	human	m2_literature_report	Kamran M et al. 2025 (PMID: 41394832; DOI: 10.3389/fimmu.2025.1676937; PMC: PMC12695756) -- confirms CD25/CD127 as human T cell markers, though in a Treg (not naive-T) context; naive T cells are CD25-low/CD127-high, the inverse pattern from Treg	In humans, a combination of high CD25 and low or absent CD127 expression helps differentiate Tregs from effector T cells, which usually express high levels of CD127	reports/literature/t_cell_markers.md
CL:0000898	naive T cell	PR:000001318	L-selectin	CD62 (exact); CD62L (exact)	human	m2_literature_report	Kamigaichi A et al. 2026 (PMID: 42047825; DOI: 10.1007/s00262-026-04357-4; PMC: PMC13125411) -- confirms CD62L used on human CD4+ T cells, though in a Th1 (not naive-T) context	Th1 (CXCR3+CCR4−CCR6− CD62LlowCD4+ T cells)	reports/literature/t_cell_markers.md
CL:0000898	naive T cell	PR:000001307	CD44 molecule	CD44 (label); CDw44 (exact)	insufficient_evidence	none			CD44 not mentioned anywhere in reports/literature/t_cell_markers.md; not found via a targeted EuropePMC search either ('CD44 human naive T cell surface marker' returned unrelated tissue-resident-memory/B-cell papers).
CL:0000898	naive T cell	PR:000001015	receptor-type tyrosine-protein phosphatase C isoform CD45RA	CD45RA (label)	human	m2_literature_report	Finak G et al. 2016 (PMID: 26861911; DOI: 10.1038/srep20686; PMC: PMC4748244)	CD3+/CD8−/CD4+/CCR7+/CD45RA+	reports/literature/t_cell_markers.md
CL:0000898	naive T cell	PR:000001203	C-C chemokine receptor type 7	CD197 (exact); CDw197 (exact)	human	m2_literature_report	Finak G et al. 2016 (PMID: 26861911; DOI: 10.1038/srep20686; PMC: PMC4748244)	CD3+/CD8−/CD4+/CCR7+/CD45RA+	reports/literature/t_cell_markers.md
CL:0000898	naive T cell	PR:000001869	interleukin-7 receptor subunit alpha	CD127 (exact); CDw127 (exact)	human	m2_literature_report	Kamran M et al. 2025 (PMID: 41394832; DOI: 10.3389/fimmu.2025.1676937; PMC: PMC12695756) -- confirms CD25/CD127 as human T cell markers, though in a Treg (not naive-T) context; naive T cells are CD25-low/CD127-high, the inverse pattern from Treg	In humans, a combination of high CD25 and low or absent CD127 expression helps differentiate Tregs from effector T cells, which usually express high levels of CD127	reports/literature/t_cell_markers.md
CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell	PR:000001380	interleukin-2 receptor subunit alpha	CD25 (exact)	human	m2_literature_report	Kamran M et al. 2025 (PMID: 41394832; DOI: 10.3389/fimmu.2025.1676937; PMC: PMC12695756) -- confirms CD25/CD127 as human T cell markers, though in a Treg (not naive-T) context; naive T cells are CD25-low/CD127-high, the inverse pattern from Treg	In humans, a combination of high CD25 and low or absent CD127 expression helps differentiate Tregs from effector T cells, which usually express high levels of CD127	reports/literature/t_cell_markers.md
CL:0000904	central memory CD4-positive, alpha-beta T cell	PR:000001015	receptor-type tyrosine-protein phosphatase C isoform CD45RA	CD45RA (label)	human	m2_literature_report	Finak G et al. 2016 (PMID: 26861911; DOI: 10.1038/srep20686; PMC: PMC4748244)	CD3+/CD8−/CD4+/CCR7+/CD45RA−	reports/literature/t_cell_markers.md
CL:0000904	central memory CD4-positive, alpha-beta T cell	PR:000001203	C-C chemokine receptor type 7	CD197 (exact); CDw197 (exact)	human	m2_literature_report	Finak G et al. 2016 (PMID: 26861911; DOI: 10.1038/srep20686; PMC: PMC4748244)	CD3+/CD8−/CD4+/CCR7+/CD45RA−	reports/literature/t_cell_markers.md
CL:0000905	effector memory CD4-positive, alpha-beta T cell	PR:000001015	receptor-type tyrosine-protein phosphatase C isoform CD45RA	CD45RA (label)	human	m2_literature_report	Finak G et al. 2016 (PMID: 26861911; DOI: 10.1038/srep20686; PMC: PMC4748244)	CD3+/CD8−/CD4+/CCR7−/CD45RA+	reports/literature/t_cell_markers.md
CL:0000905	effector memory CD4-positive, alpha-beta T cell	PR:000001203	C-C chemokine receptor type 7	CD197 (exact); CDw197 (exact)	human	m2_literature_report	Finak G et al. 2016 (PMID: 26861911; DOI: 10.1038/srep20686; PMC: PMC4748244)	CD3+/CD8−/CD4+/CCR7−/CD45RA+	reports/literature/t_cell_markers.md
CL:0000907	central memory CD8-positive, alpha-beta T cell	PR:000001015	receptor-type tyrosine-protein phosphatase C isoform CD45RA	CD45RA (label)	human	m2_literature_report	Finak G et al. 2016 (PMID: 26861911; DOI: 10.1038/srep20686; PMC: PMC4748244) -- CD8 Naive gating string quoted verbatim; the CD8 Central Memory string was not separately captured in this M2 report, but the same CD45RA/CCR7 panel is applied orthogonally to CD4 and CD8 per the paper's design	CD3+/CD8+/CD4−/CCR7+/CD45RA+	reports/literature/t_cell_markers.md
CL:0000907	central memory CD8-positive, alpha-beta T cell	PR:000001203	C-C chemokine receptor type 7	CD197 (exact); CDw197 (exact)	human	m2_literature_report	Finak G et al. 2016 (PMID: 26861911; DOI: 10.1038/srep20686; PMC: PMC4748244) -- CD8 Naive gating string quoted verbatim; the CD8 Central Memory string was not separately captured in this M2 report, but the same CD45RA/CCR7 panel is applied orthogonally to CD4 and CD8 per the paper's design	CD3+/CD8+/CD4−/CCR7+/CD45RA+	reports/literature/t_cell_markers.md
CL:0000913	effector memory CD8-positive, alpha-beta T cell	PR:000001015	receptor-type tyrosine-protein phosphatase C isoform CD45RA	CD45RA (label)	human	m2_literature_report	Finak G et al. 2016 (PMID: 26861911; DOI: 10.1038/srep20686; PMC: PMC4748244) -- CD8 Naive gating string quoted verbatim; the CD8 Effector Memory string was not separately captured in this M2 report, but the same CD45RA/CCR7 panel is applied orthogonally to CD4 and CD8 per the paper's design	CD3+/CD8+/CD4−/CCR7+/CD45RA+	reports/literature/t_cell_markers.md
CL:0000913	effector memory CD8-positive, alpha-beta T cell	PR:000001203	C-C chemokine receptor type 7	CD197 (exact); CDw197 (exact)	human	m2_literature_report	Finak G et al. 2016 (PMID: 26861911; DOI: 10.1038/srep20686; PMC: PMC4748244) -- CD8 Naive gating string quoted verbatim; the CD8 Effector Memory string was not separately captured in this M2 report, but the same CD45RA/CCR7 panel is applied orthogonally to CD4 and CD8 per the paper's design	CD3+/CD8+/CD4−/CCR7+/CD45RA+	reports/literature/t_cell_markers.md
CL:0000938	CD16-negative, CD56-bright natural killer cell, human	PR:000001024	neural cell adhesion molecule 1	CD56 (exact)	human	m2_literature_report	Rebuffet L et al. 2024 (PMID:38956378; DOI:10.1038/s41590-024-01883-0)	human NK cells are typically divided into two main categories on the basis of the density of CD56, the 140-kDa isoform of the neural cell adhesion molecule (NCAM)2, on the cell surface: CD56bright and CD56dim NK cells.	reports/literature/nk_cell_markers.md
CL:0000938	CD16-negative, CD56-bright natural killer cell, human	PR:000001483	low affinity immunoglobulin gamma Fc region receptor III	CD16 (exact)	human	m2_literature_report	Scoville SD et al. 2017 (PMID:28396671; DOI:10.3389/fimmu.2017.00360)	CD56bright human NK cells express high levels of CD62L (l-selectin) and CD94 but absent or low levels of CD16 and KIRs	reports/literature/nk_cell_markers.md
CL:0000938	CD16-negative, CD56-bright natural killer cell, human	PR:000002015	MHC class II histocompatibility antigen alpha chain DRA		human	m2_literature_report	Rebuffet L et al. 2024 (PMID:38956378; DOI:10.1038/s41590-024-01883-0) -- indirect: HLA-D family expression shown on an adaptive NK subset (NK3B), not stated specifically for CD56bright/CD56dim	Notably, NK3B (cluster 1) was distinguished by expression of members of the HLA-D gene family, CD74, CCL5, CD7 and KLRC1, and NK3A exhibited enhanced cytotoxic capabilities (through expression of GZMA, GZMB and PRF1)	reports/literature/nk_cell_markers.md
CL:0000938	CD16-negative, CD56-bright natural killer cell, human	PR:000001319	SLAM family member 5	CD84 (exact)	insufficient_evidence	none			No CD84-on-NK-cell evidence found in reports/literature/nk_cell_markers.md or a targeted EuropePMC search ('CD84 human natural killer cell surface marker' -- top hits were CD84 in MDSCs/breast cancer/CLL, none NK-specific).
CL:0000939	CD16-positive, CD56-dim natural killer cell, human	PR:000001024	neural cell adhesion molecule 1	CD56 (exact)	human	m2_literature_report	Rebuffet L et al. 2024 (PMID:38956378; DOI:10.1038/s41590-024-01883-0)	human NK cells are typically divided into two main categories on the basis of the density of CD56, the 140-kDa isoform of the neural cell adhesion molecule (NCAM)2, on the cell surface: CD56bright and CD56dim NK cells.	reports/literature/nk_cell_markers.md
CL:0000939	CD16-positive, CD56-dim natural killer cell, human	PR:000002015	MHC class II histocompatibility antigen alpha chain DRA		human	m2_literature_report	Rebuffet L et al. 2024 (PMID:38956378; DOI:10.1038/s41590-024-01883-0) -- indirect: HLA-D family expression shown on an adaptive NK subset (NK3B), not stated specifically for CD56bright/CD56dim	Notably, NK3B (cluster 1) was distinguished by expression of members of the HLA-D gene family, CD74, CCL5, CD7 and KLRC1, and NK3A exhibited enhanced cytotoxic capabilities (through expression of GZMA, GZMB and PRF1)	reports/literature/nk_cell_markers.md
CL:0000939	CD16-positive, CD56-dim natural killer cell, human	PR:000001483	low affinity immunoglobulin gamma Fc region receptor III	CD16 (exact)	human	m2_literature_report	Scoville SD et al. 2017 (PMID:28396671; DOI:10.3389/fimmu.2017.00360)	In contrast, CD56dim NK cells are CD16hi and express more KIRs but less CD94 and CD62L; they predominate in PB	reports/literature/nk_cell_markers.md
CL:0000960	T3 B cell	PR:000001318	L-selectin	CD62 (exact); CD62L (exact)	insufficient_evidence	none			CD62L not mentioned in the T3-transitional context in reports/literature/b_cell_markers.md (only mentioned for DN2 B cells: 'lack of CXCR5 and CD62L expression', Sachinidis 2021, a different B cell subset).
CL:0000960	T3 B cell	PR:000001338	complement receptor type 2	CD21 (exact)	human	m2_literature_report	Martin VG et al. 2016 (PMID: 27994589; DOI: 10.3389/fimmu.2016.00546)	The gradual loss of CD10, CD5, and IgM and the upregulation of CD22, CD44, CD21, and CD23 as cells progress from immature to transitional (TI to T2 to T3) to mature naïve cells	reports/literature/b_cell_markers.md
CL:0000960	T3 B cell	PR:000001880	low affinity immunoglobulin epsilon Fc receptor	CD23 (exact); CD23A (related)	human	m2_literature_report	Martin VG et al. 2016 (PMID: 27994589; DOI: 10.3389/fimmu.2016.00546)	The gradual loss of CD10, CD5, and IgM and the upregulation of CD22, CD44, CD21, and CD23 as cells progress from immature to transitional (TI to T2 to T3) to mature naïve cells	reports/literature/b_cell_markers.md
CL:0000970	unswitched memory B cell	PR:000001963	CD27 molecule	CD27 (label); CD27L (exact)	human	m2_literature_report	Woodruff MC et al. 2020 (PMID: 33028979; DOI: 10.1038/s41590-020-00814-z)	"""**M**: CD19+ CD27+ CD38−/lo"" [memory B cell gating entry]"	reports/literature/b_cell_markers.md
CL:0000972	class switched memory B cell	PR:000001963	CD27 molecule	CD27 (label); CD27L (exact)	human	m2_literature_report	Woodruff MC et al. 2020 (PMID: 33028979; DOI: 10.1038/s41590-020-00814-z)	"""**M**: CD19+ CD27+ CD38−/lo"" [memory B cell gating entry]"	reports/literature/b_cell_markers.md
CL:0000980	plasmablast	PR:000001408	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1	CD38 (exact)	human	m2_literature_report	Woodruff MC et al. 2020 (PMID: 33028979; DOI: 10.1038/s41590-020-00814-z)	"""**ASC**: CD19+ CD27+ CD38hi"" and ""**M**: CD19+ CD27+ CD38−/lo"" and"	reports/literature/b_cell_markers.md
CL:0000980	plasmablast	PR:000001963	CD27 molecule	CD27 (label); CD27L (exact)	human	m2_literature_report	Woodruff MC et al. 2020 (PMID: 33028979; DOI: 10.1038/s41590-020-00814-z)	"""**ASC**: CD19+ CD27+ CD38hi"" and ""**M**: CD19+ CD27+ CD38−/lo"" and"	reports/literature/b_cell_markers.md
CL:0000980	plasmablast	PR:000001289	membrane-spanning 4-domains subfamily A member 1	CD20 (exact)	human	m2_literature_report	Griffin DO & Rothstein TL 2012 (PMID: 22654880; DOI: 10.3389/fimmu.2012.00122)	as B cells differentiate to become plasmablasts and plasma cells, CD20 is lost but CD19 remains, as CD38/CD138 is acquired	reports/literature/b_cell_markers.md
CL:0000980	plasmablast	PR:000001935	syndecan-1	CD138 (exact)	human	m2_literature_report	Woodruff MC et al. 2020 (PMID: 33028979; DOI: 10.1038/s41590-020-00814-z)	"""**CD138neg ASC**: CD138−"" and ""**CD138pos ASC**: CD138+"" [gating labels distinguishing"	reports/literature/b_cell_markers.md
CL:0000981	double negative memory B cell	PR:000001963	CD27 molecule	CD27 (label); CD27L (exact)	human	m2_literature_report	Sachinidis A & Garyfallos A 2021 (PMID: 34964023; DOI: 10.31138/mjr.32.3.192)	Double negative (DN) B cells, also known as atypical memory B cells, constitute a B cell population that lacks expression of immunoglobulin D and CD27 memory marker.	reports/literature/b_cell_markers.md
CL:0000990	conventional dendritic cell	PR:000001013	integrin alpha-X	CD11 (exact); CD11C (related); CD11c (exact)	human	m2_literature_report	Rhodes JW et al. 2019 (DOI:10.3389/fimmu.2019.01088)	Conventional DCs (cDCs), also known as myeloid DCs, can be defined as CD11c+ CD123−	reports/literature/dc_markers.md
CL:0001058	plasmacytoid dendritic cell, human	PR:000001013	integrin alpha-X	CD11 (exact); CD11C (related); CD11c (exact)	human	m2_literature_report	Rhodes JW et al. 2019 (DOI:10.3389/fimmu.2019.01088)	Conventional DCs (cDCs), also known as myeloid DCs, can be defined as CD11c+ CD123−	reports/literature/dc_markers.md
CL:0001058	plasmacytoid dendritic cell, human	PR:000001889	CD14 molecule	CD14 (label)	human	m2_literature_report	Villani AC et al. 2017 (PMID:28428369; DOI:10.1126/science.aah4573)	DCs were defined as live, LIN(CD3, CD19, CD56)−CD14−HLA-DR+ cells.	reports/literature/dc_markers.md
