subject_id	legacy_subject_id	abbreviation	subject_label	cl_id	cl_label	match_type	uncertain	review_status	evidence_override	note	lexical_evidence	literature_evidence	evidence_source	curator_evidence
SOULCAP:SC000019	SOULCAP:NCMo	NCMo	Non-classical Monocyte	CL:0000875	non-classical monocyte	Exact		needs_review	sheet_confirmed	OAK-verified exact label match. CL:0000875 asserts only CX3CR1 and lineage negatives, not the CD14/CD16 axioms that actually define this subset — already tracked by repo issue #12. Sheet-confirmed 2026-08: the master Google Sheet's 'OLS CL identifier' column was independently populated with this same CL ID.	Legacy note records OAK verification; no query artifact retained.		reports/candidate_cl_mappings_narrative.md	Sheet confirmation recorded in existing local edits (2026-08); retained without independent re-verification.
SOULCAP:SC000020	SOULCAP:IntMo	IntMo	Intermediate Monocyte	CL:0002393	intermediate monocyte	Exact		needs_review	sheet_confirmed	OAK-verified exact label match. CL:0002393 asserts only CCR2 (CD192, negative) and lineage negatives, not the CD14/CD16 axioms that actually define this subset — already tracked by repo issue #12. Sheet-confirmed 2026-08: the master Google Sheet's 'OLS CL identifier' column was independently populated with this same CL ID.	Legacy note records OAK verification; no query artifact retained.		reports/candidate_cl_mappings_narrative.md	Sheet confirmation recorded in existing local edits (2026-08); retained without independent re-verification.
SOULCAP:SC000021	SOULCAP:Neutrophil	Neutrophil	Neutrophil	CL:0000775	neutrophil	Exact		needs_review					reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000022	SOULCAP:Eosinophil	Eosinophil	Eosinophil	CL:0000771	eosinophil	Exact		needs_review		CD193 (CCR3) positive is directly asserted (not inferred) on CL:0000771, precisely matching SOULCAP's defining CD193+ requirement — one of the stronger marker-confirmed matches in this set.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000023	SOULCAP:B_cell	B cell	B cell	CL:0000236	B cell	Exact		needs_review	no_marker_axiom	OLS4 REST search returned zero hits for this exact query; found instead via OAK. CL:0000236 has no marker axioms recorded.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000024	SOULCAP:ASC	ASC	Antibody Secreting Cell	CL:0000946	antibody secreting cell	Exact		needs_review	no_marker_axiom	Lexical match; marker scoring found nothing useful (mouse B220-nomenclature terms scored highest instead).			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000025	SOULCAP:PB	PB	Plasmablast	CL:0000980	plasmablast	Exact		needs_review	no_marker_axiom	Lexical match; marker scoring found nothing useful.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000026	SOULCAP:PC	PC	Plasma Cell	CL:0000786	plasma cell	Exact		needs_review	no_marker_axiom	Lexical match; marker scoring found nothing useful.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000028	SOULCAP:T1/T2_B	T1/T2 B	Transitonal B cell 1 and 2	CL:0000818	transitional stage B cell	Broad		needs_review	no_marker_axiom	SOULCAP combines T1+T2 into one gate; CL keeps CL:0000958 (T1) and CL:0000959 (T2) separate under this parent term. Sheet's Full Name has a typo ('Transitonal').			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000029	SOULCAP:Mature_B	Mature B	Mature B cell	CL:0000785	mature B cell	Exact		needs_review	no_marker_axiom	Lexical match; marker scoring found nothing useful.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000030	SOULCAP:T3	T3	Transitional B cell 3	CL:0000960	T3 B cell	Exact		needs_review	no_marker_axiom	Lexical match; marker scoring found nothing useful.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000031	SOULCAP:Naive	Naive	Naive B cell	CL:0000788	naive B cell	Exact		needs_review	no_marker_axiom	Lexical match; marker scoring found nothing useful.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000032	SOULCAP:BDN	BDN	Double Negative B cells	CL:0000981	double negative memory B cell	Exact		needs_review	no_marker_axiom	OAK-verified; batch lexical search had wrongly picked CL:0002103, an IgG-positive-specific child term.	Legacy note records OAK verification; no query artifact retained.		reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000033	SOULCAP:BDN1	BDN1	Double Negative B cell 1	CL:0000981	double negative memory B cell	Broad		needs_review	no_marker_axiom	No CL term exists for the DN1-4 atypical B cell scheme (CD21/CD11c/CD185/IgE-based); collapses to the general parent.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000034	SOULCAP:BDN2	BDN2	Double Negative B cell 2	CL:0000981	double negative memory B cell	Broad		needs_review	no_marker_axiom	No CL term exists for the DN1-4 atypical B cell scheme (CD21/CD11c/CD185/IgE-based); collapses to the general parent.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000035	SOULCAP:BDN3	BDN3	Double Negative B cell 3	CL:0000981	double negative memory B cell	Broad		needs_review	no_marker_axiom	No CL term exists for the DN1-4 atypical B cell scheme (CD21/CD11c/CD185/IgE-based); collapses to the general parent.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000036	SOULCAP:BDN4	BDN4	Double Negative B cell 4	CL:0000981	double negative memory B cell	Broad		needs_review	no_marker_axiom	No CL term exists for the DN1-4 atypical B cell scheme (CD21/CD11c/CD185/IgE-based); collapses to the general parent.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000037	SOULCAP:Bmem	Bmem	Memory B cell	CL:0000787	memory B cell	Exact		needs_review	no_marker_axiom	Lexical match; marker scoring found nothing useful.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000039	SOULCAP:Unswitched	Unswitched	Unswitched Memory B cell	CL:0000970	unswitched memory B cell	Exact		needs_review	no_marker_axiom	Lexical match, OAK-confirmed.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000040	SOULCAP:IgM_only	IgM only	IgM-only Memory B cell	CL:0000971	IgM memory B cell	Exact		needs_review	no_marker_axiom	Lexical match, OAK-confirmed.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000041	SOULCAP:Switched	Switched	Switched Memory B cell	CL:0000972	class switched memory B cell	Exact		needs_review	no_marker_axiom	OAK-verified; batch lexical search had wrongly picked CL:0002117, an IgG-negative-specific child term (too narrow for the general Switched parent, which shouldn't exclude any Ig class).	Legacy note records OAK verification; no query artifact retained.		reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000042	SOULCAP:IgA	IgA	IgA-Class Switched B cell	CL:0000973	IgA memory B cell	Exact		needs_review	no_marker_axiom	Lexical match, OAK-confirmed.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000043	SOULCAP:IgG	IgG	IgG-Class Switched B cell	CL:0000979	IgG memory B cell	Exact		needs_review	no_marker_axiom	OAK-verified; batch lexical search had wrongly picked CL:0002117 'IgG-negative class switched memory B cell' — the opposite polarity of what this row defines.	Legacy note records OAK verification; no query artifact retained.		reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000044	SOULCAP:IgE	IgE	IgE-Class Switched B cell	CL:0000948	IgE memory B cell	Exact		needs_review	no_marker_axiom	Lexical match, OAK-confirmed.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000045	SOULCAP:T_cell	T cell	T lymphocyte	CL:0000084	T cell	Exact		needs_review	no_marker_axiom	OAK-verified; marker scoring returned unrelated myeloid terms.	Legacy note records OAK verification; no query artifact retained.		reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000060	SOULCAP:TCRab	TCRab	alpha/beta T cell	CL:0000789	alpha-beta T cell	Exact		needs_review	no_marker_axiom	OAK-verified; marker scoring returned unrelated myeloid terms.	Legacy note records OAK verification; no query artifact retained.		reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000061	SOULCAP:TCRgd	TCRgd	gamma/delta T cell	CL:0000798	gamma-delta T cell	Exact		needs_review	no_marker_axiom	OAK-verified; marker scoring returned unrelated myeloid terms.	Legacy note records OAK verification; no query artifact retained.		reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000059	SOULCAP:iNKT	iNKT	Invariant Natural Killer T cell	CL:0000814	mature NK T cell	Exact		needs_review	no_marker_axiom	OAK-verified. Same term flagged in repo issue #13 for a rename to 'iNKT cell' (filed upstream, awaiting review) — mapping is correct either way.	Legacy note records OAK verification; no query artifact retained.		reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000074	SOULCAP:MAIT	MAIT	Mucosal-associated Invariant T cell	CL:0000940	mucosal-associated invariant T cell	Exact		needs_review	no_marker_axiom	Lexical match, OAK-confirmed.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000066	SOULCAP:CD4+_TCRab_T_cell	CD4+ TCRab T cell	CD4+ alpha/beta T cell	CL:0000624	CD4-positive, alpha-beta T cell	Exact		needs_review	no_marker_axiom	OAK-verified.	Legacy note records OAK verification; no query artifact retained.		reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000067	SOULCAP:CD8+_TCRab_T_cell	CD8+ TCRab T cell	CD8+ alpha/beta T cell	CL:0000625	CD8-positive, alpha-beta T cell	Exact		needs_review	no_marker_axiom	OAK-verified.	Legacy note records OAK verification; no query artifact retained.		reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000073	SOULCAP:CD4-/CD8-_TCRgd	CD4-/CD8- TCRgd	CD4-/CD8- gamma/delta T cell	CL:0000803	CD4-negative, CD8-negative gamma-delta T cell	Exact		needs_review	no_marker_axiom	OAK-verified; double-negative is the classical gamma-delta T cell phenotype.	Legacy note records OAK verification; no query artifact retained.		reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000062	SOULCAP:CD4+_T_cell	CD4+ T cell	alpha/beta and gamma/delta CD4+ T cells	CL:0000624	CD4-positive, alpha-beta T cell	Broad		needs_review	no_marker_axiom	CL has no combined alpha-beta+gamma-delta CD4+ term; alpha-beta dominates the CD4+ compartment.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000063	SOULCAP:CD8+_T_cell	CD8+ T cell	alpha/beta and gamma/delta CD8+ T cells	CL:0000625	CD8-positive, alpha-beta T cell	Broad		needs_review	no_marker_axiom	Same reasoning as CD4+ T cell.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000064	SOULCAP:CD4+/CD8+_T_cell	CD4+/CD8+ T cell	alpha/beta and gamma/delta CD4+ and CD8+ T cells	CL:0000789	alpha-beta T cell	Broad	true	needs_review	no_marker_axiom	No CD4+CD8+ double-positive CL term found at all; peripheral DP T cells are themselves biologically unusual.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000065	SOULCAP:CD4-/CD8-_T_cell	CD4-/CD8- T cell	alpha/beta and gamma/delta CD4- and CD8- T cells	CL:0000084	T cell	Broad	true	needs_review	no_marker_axiom	No peripheral (non-thymic) double-negative term spanning both TCR types; only a thymocyte-stage term exists (wrong tissue).			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000068	SOULCAP:CD4+/CD8+_TCRab_T_cell	CD4+/CD8+ TCRab T cell	CD4+ and CD8+ alpha/beta T cell	CL:0000789	alpha-beta T cell	Broad	true	needs_review	no_marker_axiom	No CD4+CD8+ double-positive alpha-beta term found.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000069	SOULCAP:CD4-/CD8-_TCRab_T_cell	CD4-/CD8- TCRab T cell	CD4- and CD8- alpha/beta T cell	CL:0000789	alpha-beta T cell	Broad	true	needs_review	no_marker_axiom	Only CL:0002489 'double negative thymocyte' found — wrong tissue/maturity stage for a blood/PBMC panel.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000070	SOULCAP:CD4+_TCRgd_T_cell	CD4+ TCRgd T cell	CD4+ gamma/delta T cell	CL:0000798	gamma-delta T cell	Broad	true	needs_review	no_marker_axiom	CD4+ gamma-delta T cells are atypical/rare; no CL term found.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000071	SOULCAP:CD8+_TCRgd_T_cell	CD8+ TCRgd T cell	CD8+ gamma/delta T cell	CL:0000798	gamma-delta T cell	Broad	true	needs_review	no_marker_axiom	No CD8+-specific gamma-delta CL term found.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000072	SOULCAP:CD4+/CD8+_TCRgd	CD4+/CD8+ TCRgd	CD4+/CD8+ gamma/delta T cell	CL:0000798	gamma-delta T cell	Broad	true	needs_review	no_marker_axiom	No CD4+CD8+ double-positive gamma-delta term found.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000046	SOULCAP:CD56+_T_cell	CD56+ T cell	CD56+ T cell	CL:4052055	mature NK T cell, human	Broad		needs_review	no_marker_axiom	Same term flagged in repo issue #13 for a rename to 'CD56-positive T cell, human' (filed upstream, awaiting review). CL doesn't subdivide this by CD4/CD8/TCR-type the way SOULCAP's panel does, so all 13 CD56+ T cell rows collapse to this one term.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000047	SOULCAP:CD56+_CD4_T_cell	CD56+ CD4 T cell	CD56+ CD4 T cell	CL:4052055	mature NK T cell, human	Broad		needs_review	no_marker_axiom	Same term flagged in repo issue #13 for a rename to 'CD56-positive T cell, human' (filed upstream, awaiting review). CL doesn't subdivide this by CD4/CD8/TCR-type the way SOULCAP's panel does, so all 13 CD56+ T cell rows collapse to this one term.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000048	SOULCAP:CD56+_CD8_T_cell	CD56+ CD8 T cell	CD56+ CD8 T cell	CL:4052055	mature NK T cell, human	Broad		needs_review	no_marker_axiom	Same term flagged in repo issue #13 for a rename to 'CD56-positive T cell, human' (filed upstream, awaiting review). CL doesn't subdivide this by CD4/CD8/TCR-type the way SOULCAP's panel does, so all 13 CD56+ T cell rows collapse to this one term.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000049	SOULCAP:CD56+_TCRab	CD56+ TCRab	CD56+ alpha/beta T cell	CL:4052055	mature NK T cell, human	Broad		needs_review	no_marker_axiom	Same term flagged in repo issue #13 for a rename to 'CD56-positive T cell, human' (filed upstream, awaiting review). CL doesn't subdivide this by CD4/CD8/TCR-type the way SOULCAP's panel does, so all 13 CD56+ T cell rows collapse to this one term.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000050	SOULCAP:CD56+_CD4+_TCRab	CD56+ CD4+ TCRab	CD56+ CD4+ alpha/beta T cell	CL:4052055	mature NK T cell, human	Broad		needs_review	no_marker_axiom	Same term flagged in repo issue #13 for a rename to 'CD56-positive T cell, human' (filed upstream, awaiting review). CL doesn't subdivide this by CD4/CD8/TCR-type the way SOULCAP's panel does, so all 13 CD56+ T cell rows collapse to this one term.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000051	SOULCAP:CD56+_CD8+_TCRab	CD56+ CD8+ TCRab	CD56+ CD8+ alpha/beta T cell	CL:4052055	mature NK T cell, human	Broad		needs_review	no_marker_axiom	Same term flagged in repo issue #13 for a rename to 'CD56-positive T cell, human' (filed upstream, awaiting review). CL doesn't subdivide this by CD4/CD8/TCR-type the way SOULCAP's panel does, so all 13 CD56+ T cell rows collapse to this one term.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000052	SOULCAP:CD56+_CD4+/CD8+_TCRab	CD56+ CD4+/CD8+ TCRab	CD56+ CD4+/CD8+ alpha/beta T cell	CL:4052055	mature NK T cell, human	Broad		needs_review	no_marker_axiom	Same term flagged in repo issue #13 for a rename to 'CD56-positive T cell, human' (filed upstream, awaiting review). CL doesn't subdivide this by CD4/CD8/TCR-type the way SOULCAP's panel does, so all 13 CD56+ T cell rows collapse to this one term.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000053	SOULCAP:CD56+_CD4-/CD8-_TCRab	CD56+ CD4-/CD8- TCRab	CD56+ CD4-/CD8- alpha/beta T cell	CL:4052055	mature NK T cell, human	Broad		needs_review	no_marker_axiom	Same term flagged in repo issue #13 for a rename to 'CD56-positive T cell, human' (filed upstream, awaiting review). CL doesn't subdivide this by CD4/CD8/TCR-type the way SOULCAP's panel does, so all 13 CD56+ T cell rows collapse to this one term.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000054	SOULCAP:CD56+_TCRgd	CD56+ TCRgd	CD56+ gamma/delta T cell	CL:4052055	mature NK T cell, human	Broad		needs_review	no_marker_axiom	Same term flagged in repo issue #13 for a rename to 'CD56-positive T cell, human' (filed upstream, awaiting review). CL doesn't subdivide this by CD4/CD8/TCR-type the way SOULCAP's panel does, so all 13 CD56+ T cell rows collapse to this one term.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000055	SOULCAP:CD56+_CD4+_TCRgd	CD56+ CD4+ TCRgd	CD56+ CD4+ gamma/delta T cell	CL:4052055	mature NK T cell, human	Broad		needs_review	no_marker_axiom	Same term flagged in repo issue #13 for a rename to 'CD56-positive T cell, human' (filed upstream, awaiting review). CL doesn't subdivide this by CD4/CD8/TCR-type the way SOULCAP's panel does, so all 13 CD56+ T cell rows collapse to this one term.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000056	SOULCAP:CD56+_CD8+_TCRgd	CD56+ CD8+ TCRgd	CD56+ CD8+ gamma/delta T cell	CL:4052055	mature NK T cell, human	Broad		needs_review	no_marker_axiom	Same term flagged in repo issue #13 for a rename to 'CD56-positive T cell, human' (filed upstream, awaiting review). CL doesn't subdivide this by CD4/CD8/TCR-type the way SOULCAP's panel does, so all 13 CD56+ T cell rows collapse to this one term.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000057	SOULCAP:CD56+_CD4+/CD8+_TCRgd	CD56+ CD4+/CD8+ TCRgd	CD56+ CD4+/CD8+ gamma/delta T cell	CL:4052055	mature NK T cell, human	Broad		needs_review	no_marker_axiom	Same term flagged in repo issue #13 for a rename to 'CD56-positive T cell, human' (filed upstream, awaiting review). CL doesn't subdivide this by CD4/CD8/TCR-type the way SOULCAP's panel does, so all 13 CD56+ T cell rows collapse to this one term.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000058	SOULCAP:CD56+_CD8-/CD8-_TCRgd	CD56+ CD8-/CD8- TCRgd	CD56+ CD8-/CD8- gamma/delta T cell	CL:4052055	mature NK T cell, human	Broad		needs_review	no_marker_axiom	Same term flagged in repo issue #13 for a rename to 'CD56-positive T cell, human' (filed upstream, awaiting review). CL doesn't subdivide this by CD4/CD8/TCR-type the way SOULCAP's panel does, so all 13 CD56+ T cell rows collapse to this one term.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000087	SOULCAP:Tnaive	Tnaive	Naive alpha/beta and gamma/delta T cell	CL:0000898	naive T cell	Exact		needs_review	no_marker_axiom	OAK-verified; the one generic (non-CD4/CD8-split) differentiation-state term that does exist in CL.	Legacy note records OAK verification; no query artifact retained.		reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000089	SOULCAP:CD4+_TCRab_Tnaive	CD4+ TCRab Tnaive	CD4+ naive alpha/beta T cell	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	Exact		needs_review	no_marker_axiom	OAK-verified.	Legacy note records OAK verification; no query artifact retained.		reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000092	SOULCAP:CD8+_TCRab_Tnaive	CD8+ TCRab Tnaive	CD8+ naive alpha/beta T cell	CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell	Exact		needs_review	no_marker_axiom	OAK-verified.	Legacy note records OAK verification; no query artifact retained.		reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000082	SOULCAP:CD4+_TCRab_Tcm	CD4+ TCRab Tcm	CD4+ central memory alpha/beta T cell	CL:0000904	central memory CD4-positive, alpha-beta T cell	Exact		needs_review	no_marker_axiom	OAK-verified.	Legacy note records OAK verification; no query artifact retained.		reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000085	SOULCAP:CD8+_TCRab_Tcm	CD8+ TCRab Tcm	CD8+ central memory alpha/beta T cell	CL:0000907	central memory CD8-positive, alpha-beta T cell	Exact		needs_review	no_marker_axiom	OAK-verified.	Legacy note records OAK verification; no query artifact retained.		reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000096	SOULCAP:CD4+_TCRab_Tem	CD4+ TCRab Tem	CD4+ effector memory alpha/beta T cell	CL:0000905	effector memory CD4-positive, alpha-beta T cell	Exact		needs_review	no_marker_axiom	OAK-verified.	Legacy note records OAK verification; no query artifact retained.		reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000099	SOULCAP:CD8+_TCRab_Tem	CD8+ TCRab Tem	CD8+ effector memory alpha/beta T cell	CL:0000913	effector memory CD8-positive, alpha-beta T cell	Exact		needs_review	no_marker_axiom	OAK-verified.	Legacy note records OAK verification; no query artifact retained.		reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000103	SOULCAP:CD4+_TCRab_Temra	CD4+ TCRab Temra	CD4+ CD45RA+ effector memory alpha/beta T cell	CL:4030002	effector memory CD45RA-positive, alpha-beta T cell, terminally differentiated	Exact		needs_review	no_marker_axiom	OAK-verified. No CD8+-specific counterpart with this 'terminally differentiated' qualifier was found — see gaps.tsv.	Legacy note records OAK verification; no query artifact retained.		reports/candidate_cl_mappings_narrative.md
